question_no,question,option_a,option_b,option_c,option_d,answer,explanation,unit,topic
69,Bit Map is a method of,keeping track of allocated blocks.,keeping track of free blocks.,allocating free blocks.,keeping track of free/allocated blocks.,D,"A bitmap is used in memory management to keep track of the status of memory blocks, indicating whether each block is free or allocated.",System Software and Operating System,Memory Management
70,Data warehousing is defined as,a subject oriented integrated time variant non-volatile collection of data in support of management.,selecting the right dataset for KDD.,the real discovery stage of KDD process.,All of the above,A,"Option A accurately describes the core characteristics of a data warehouse: subject-oriented, integrated, time-variant, and non-volatile.",Database Management Systems,Data Warehousing and Data Mining
71,The special memory used to store the micro routines of a computer is __________.,Control Table,Control Store,Control Mart,Control Shop,B,The control store is a special memory area within the control unit of a computer that stores microinstructions or microroutines.,Computer System Architecture,Microprogrammed Control
72,“Rahim is very honest” this statement can be completely expressed using,FOPL,Fuzzy Logic,Semantic Net,All of the above,B,"The statement involves a degree of truth (very honest). Fuzzy logic is designed to handle such imprecise or vague information, making it suitable for representing this statement.",Artificial Intelligence (AI),Fuzzy Sets
73,"Which of the following is true for Virtual Network Computing (VNC)?

(i) It is a graphical desktop-sharing system.
(ii) It uses the Remote Frame Buffer (RFB) protocol to remotely control another computer.
(iii) Multiple clients may connect to a VNC server at the same time.
(iv) VNC logs into the computer, creating a virtual desktop session so that users can share the resources of the same computer between them.",(i) and (iv),"(i), (iii) and (iv)","(i), (ii) and (iii)","(ii), (iii) and (iv)",C,"Statements (i), (ii), and (iii) accurately describe VNC. VNC allows multiple clients to connect to a server and uses the RFB protocol for remote control. Statement (iv) is not entirely accurate; VNC creates a remote desktop session rather than a virtual desktop in the traditional sense.",Data Communication and Computer Networks,Computer Networks
43,The analysis performed to uncover the interesting statistical correlation between associated attribute value pairs is known as the ________.,mining of association,mining of correlation,mining of clusters,All of the above,A,"The question is related to finding association rules in data mining, which aims to uncover interesting relationships or associations between different attribute values.",Database Management Systems,Data Warehousing and Data Mining
44,A message ‘CRYPTOGRAPHY’ is encrypted (ignore quotes) using columnar transposition cipher with a key ‘TABLE’. The encrypted message is,YRCTPOGRAYHP,YHPARGOTPYRC,OTPYRCYHPARG,RGYYRTPP ACOH,D,"The columnar transposition cipher involves writing the message in rows of a fixed length determined by the keyword, then reading the columns out based on the alphabetical order of the keyword letters. 
Key: TABLE

```
T A B L E
5 1 2 4 3
-------
C R Y P T
O G R A P
H Y      
```
Reading columns in order (1,2,3,4,5) gives:  RGY YRT PPA COH",Data Communication and Computer Networks,Network Security
45,"If G is the forest with 54 vertices and 17 connected components, then the total number of edges in G is",36,37,38,27,B,"A forest is an undirected graph in which any two vertices are connected by at most one path. A forest is a disjoint union of trees. 

For a tree, the number of edges is one less than the number of vertices. (Edges = Vertices - 1). 

If there are 17 connected components (trees) and 54 vertices, then the total number of edges in the forest is:

Edges = Vertices - Components = 54 - 17 = 37",Discrete Structures and Optimization,Graph Theory
46,The matrix contains m rows and n columns. The matrix is called a Sparse matrix if ________.,total number of zero elements > (m * n) / 2,total number of zero elements = m + n,total number of zero elements = m - n,total number of zero elements = m / n,A,"A sparse matrix is a matrix in which most of the elements are zero. By contrast, if most of the elements are nonzero, then the matrix is considered dense. The fraction of zero elements over the total number of elements is called sparsity. The matrix is sparse when sparsity is greater than 0.5.",Data Structures and Algorithms,Data Structures
47,"What is the correct way to round off x, a float to an int value in ‘C’?",Y = (int) x + 0.5,Y = (int) (x + 0.5),Y = int (x + 0.5),Y = (int) ((int) x + 0.5),B,"To correctly round a float to the nearest integer, you should add 0.5 to the float and then truncate the decimal part.

(int) (x + 0.5) first adds 0.5 to x and then casts the result to an integer, effectively rounding to the nearest whole number.",Programming Languages and Computer Graphics,Programming in C
48,Which of the following systems can accommodate higher number of users and services?,GSM,GPRS,CDMA,Both GSM and CDMA,C,"CDMA (Code Division Multiple Access) can accommodate a higher number of users and services compared to GSM (Global System for Mobile Communications). CDMA uses a spread-spectrum technique where multiple users can share the same frequency band simultaneously by using unique codes, allowing for better capacity and efficiency.",Data Communication and Computer Networks,Mobile Technology
49,Consider a portion of the network diagram given below. What is the LS of activity C?,20,21,26,27,A,"LS (Latest Start) of activity C
LS of C = Min (LS of D, LS of E)
LS of C = Min(27, 27) = 27
LS = LF - duration
LS of C = 27 - 7 = 20",Discrete Structures and Optimization,Optimization
50,A process executes the following for (i = 0; i < n; i + +) fork( ); The total number of child process created is,n,2^n - 1,2^n,2^(n + 1) - 1,B,"The fork() system call creates a new process. In the given loop, the fork() is called n times.

- In the first iteration (i=0), one child process is created.
- In the second iteration (i=1), two child processes are created.
- In the third iteration (i=2), four child processes are created.

This pattern continues, where each iteration creates 2^i child processes. The total number of child processes is the sum of this geometric series:

1 + 2 + 4 + ... + 2^(n-1) = 2^n - 1",System Software and Operating System,Process Management
35,The Language L = {a<sup>x</sup>b<sup>y</sup> | x ≠ y} is constructed from a grammar G which,is a linear regular grammar,is a non-linear regular grammar,is a linear context-free grammar,is a non-linear context-free grammar,c,The language L = {a<sup>x</sup>b<sup>y</sup> | x ≠ y} is a context-free language but not a regular language. It can be generated by a linear context-free grammar.,Theory of Computation and Compilers,Context Free Language
36,"Suppose, every region of a planar simple graph has 'n' vertices and 'e' edges, drawn in a plane bounded by K-edges. Then, K (n – 2) equals to which of the following?",e (n – 2),e (K – 2),2n – K,2 (n – K),a,"For a planar graph, the sum of the degrees of the regions is equal to twice the number of edges. In this case, each region is bounded by n vertices, so the sum of degrees is nK. Since there are e edges, 2e = nK. Given that the graph is drawn in a plane bounded by K edges, and each region has n vertices, we can relate the number of edges (e), vertices (n), and regions (K) using Euler's formula for planar graphs: V - E + F = 2. Where V is vertices, E is edges and F is faces or regions. Also, the relation between edges and regions can be expressed as nK = 2e (sum of degrees of regions equals twice the number of edges). Therefore K(n-2) = 2e-2K, it is not equal to e(n-2). This question might be flawed.",Discrete Structures and Optimization,Graph Theory
37,"A system with 8 blocks of cache memory which is 2-way set associative mapped. Cache memory using LRU replacement algorithm. A process referencing following main memory blocks in given order — 10, 11, 12, 18, 5, 11, 6, 7, 10, 15, 11, 5. Assume cache is initially empty. which of the following is false?",4 conflict misses,8 compulsory misses,0 capacity misses,2 hits,a,"With 8 blocks and 2-way set associativity, there are 4 sets. 
- Compulsory misses: 10, 11, 12, 18, 5, 6, 7, 15 (8 compulsory misses)
- Hits: 11, 10, 11, 5 (4 Hits)
- Conflict misses: 0
- Capacity misses: 0
Therefore, 4 conflict misses is false.",Computer System Architecture,Memory Hierarchy
38,"A feature F<sub>1</sub> can take certain value : A, B, C, D, E & F and represents grade of students from a college. Which of the following statements is true?",Feature F<sub>1</sub> is an example of nominal variable.,Feature F<sub>1</sub> is an example of ordinal variable.,It does not belong to any of the above category.,Both (A) and (B),b,"Since the grades A, B, C, D, E, and F have a specific order (A > B > C > D > E > F), Feature F1 represents an ordinal variable.",Programming Languages and Computer Graphics,Elementary Data Types
39,"Consider the following encodings E<sub>1</sub> = {D, w} | D is a DFA and w∈ L(D)} and E<sub>2</sub> = {T, w} | T is a Turing machine that accepts a string w}",E<sub>1</sub> is decidable and E<sub>2</sub> is decidable.,E<sub>1</sub> is undecidable and E<sub>2</sub> is undecidable.,E<sub>1</sub> is undecidable and E<sub>2</sub> is recognizable.,E<sub>1</sub> is decidable and E<sub>2</sub> is recognizable.,d,"E<sub>1</sub> is decidable because we can simulate the DFA D on input w and determine if it accepts w. E<sub>2</sub> is recognizable (but not necessarily decidable) because we can simulate the Turing machine T on input w. If T accepts w, we accept; otherwise, we might loop forever.",Theory of Computation and Compilers,Theory of Computation
40,"Consider the following statements —
S1 : Register renaming is used to prevent WAR and WAW hazards in pipelined CPUs.
S2 : WAR hazard is also known as anti-dependency hazard.
S3 : Branch prediction is used to resolve the control hazards in pipelined CPUs.
The correct statement(s) is/are",All,S1 and S3 only,S2 and S3 only,S1 and S2 only,a,"All the statements are correct.
- S1: Register renaming helps eliminate WAR (Write After Read) and WAW (Write After Write) hazards by using different physical registers for different logical registers.
- S2: WAR hazard is indeed also known as anti-dependency.
- S3: Branch prediction is a technique used to mitigate control hazards by predicting the outcome of branch instructions.",Computer System Architecture,Pipeline and Vector Processing
41,"For a given relation R (A<sub>1</sub>, A<sub>2</sub>, ... A<sub>n</sub>), what is the number of super keys, if (A<sub>1</sub> A<sub>2</sub>) and (A<sub>2</sub> A<sub>3</sub> A<sub>4</sub>) are candidate keys?",2<sup>n–3</sup> + 2<sup>n–2</sup>,2<sup>n–3</sup> + 2<sup>n–2</sup> + 2<sup>n-4</sup>,2<sup>n–3</sup> + 2<sup>n–2</sup> – 2<sup>n–4</sup>,2<sup>n–3</sup> – 2<sup>n–2</sup>,c,"Given candidate keys (A1 A2) and (A2 A3 A4), the union of these is (A1 A2 A3 A4). Any superkey must contain either (A1 A2) or (A2 A3 A4). Let S be the set of attributes {A1, A2, ..., An}.

Number of superkeys containing (A1 A2): 2<sup>n-2</sup>
Number of superkeys containing (A2 A3 A4): 2<sup>n-4</sup>
Number of superkeys containing both (A1 A2) and (A2 A3 A4), i.e., containing (A1 A2 A3 A4): 2<sup>n-4</sup>

Using the principle of inclusion-exclusion, the total number of superkeys is:
2<sup>n-2</sup> + 2<sup>n-4</sup> - 2<sup>n-4</sup> = 2<sup>n-3</sup> + 2<sup>n-2</sup> - 2<sup>n-4</sup>",Database Management Systems,Data Modeling
42,Which of the following statements is true?,No LR(1) is LL(1).,Every LL(1) is LR(1).,Some LR(1) are LL(1).,Some LL(1) are LR(1).,b,"Every LL(1) grammar is also an LR(1) grammar. LR(1) grammars are more powerful than LL(1) grammars, meaning they can handle a wider range of grammars.",Theory of Computation and Compilers,Syntax Analysis
90,Which of the following is NOT true of deadlock prevention and deadlock avoidance schemes?,"In deadlock prevention, the request for resources is always granted if the resulting state is safe.","In deadlock avoidance, the request for resources is always granted if the result state is safe.",Deadlock avoidance is less restrictive than deadlock prevention.,Deadlock avoidance requires knowledge of resource requirements a priori.,A,"In deadlock prevention, the request for resources is not always granted if the resulting state is safe. Deadlock prevention algorithms work by preventing one of the four necessary conditions for deadlock from occurring.",System Software and Operating System,Deadlocks
91,The modules in a good software design should have which one of the following characteristics?,"High cohesion, low coupling","Low cohesion, high coupling","Low cohesion, low coupling","High cohesion, high coupling",A,"High cohesion means that a module is focused on doing one thing well, while low coupling means that a module has few dependencies on other modules. This makes the software easier to understand, modify, and maintain.",Software Engineering,Software Design
92,"Consider the DFA

`M = ({q0, q1, q2, qf}, {0,1}, δ, q0, qf)` and

its transition table is as follows:

|      | 0   | 1   |
| ---- | --- | --- |
| q0   | q1  | q2  |
| q1   | qf  | q1  |
| q2   | q2  | q2  |
| qf   | q1  | q2  |

The Language accepted by the DFA is",(01* 0 + 10*1),(01* 0 + 10*1)*,(01* 0 + 10*1)+,(01*00* + 10*11*),B,"The correct answer is (01*0 + 10*1)*. 
The DFA accepts strings that start with either 0 or 1. 
If the string starts with 0, it must be followed by zero or more 1s and then a 0. 
If the string starts with 1, it must be followed by zero or more 0s and then a 1. 
These two patterns can be repeated any number of times. 
Therefore, the regular expression that represents the language accepted by the DFA is (01*0 + 10*1)*.",Theory of Computation and Compilers,Regular Language Models
93,How many conditions have to be met if an NP-complete problem is polynomially reducible?,1,2,3,4,B,"Two conditions must be met for a problem to be NP-complete, given that it is polynomially reducible: 
1. The problem must be in NP (verifiable in polynomial time). 
2. Every other problem in NP can be reduced to this problem in polynomial time.",Data Structures and Algorithms,Complexity Theory
94,"In an RSA cryptosystem, participant A generates his public and private keys using two prime numbers, p = 13 and q = 11.

If A’s public key is 37, then A’s private key is",35,37,13,29,D,"Given two primes p = 13, q = 11
n = p*q = 143
Φ(n) = (p-1)*(q-1) = 12*10 = 120
Public key (e) = 37
We know e*d mod Φ(n) = 1
37*d mod 120 = 1
By trial and error we can find that 37*13 mod 120 = 481 mod 120 = 1, but 13 is p, and d needs to be different from p and q, trying other numbers, we find that 37*29 mod 120 = 1073 mod 120 = 89, then we try 37*53 = 1961 mod 120 = 41, then we try 37*89 = 3293 mod 120 = 53, then 37*113 = 4181 mod 120 = 101, finally we find that 37*29 = 1073 mod 120 = 89. Thus, d = 89.",Data Communication and Computer Networks,Network Security
95,"Suppose a memory system contains the cache, main memory and virtual memory access time of which are 5 nanoseconds, 100 nanoseconds and 10 miliseconds respectively. If cache hit rate is 0.8 and main memory hit rate is 0.995, then what is the average memory access time?",124 ns,1024 ns,10024 ns,100024 ns,C,"Cache access time = 5 ns
Main memory access time = 100 ns
Virtual memory access time = 10 ms = 10,000,000 ns
Cache hit rate = 0.8
Main memory hit rate = 0.995
Average memory access time = (Cache hit rate * Cache access time) + ((1 - Cache hit rate) * Main memory hit rate * Main memory access time) + ((1 - Cache hit rate) * (1 - Main memory hit rate) * Virtual memory access time)
= (0.8 * 5) + (0.2 * 0.995 * 100) + (0.2 * 0.005 * 10,000,000)
= 4 + 19.9 + 10,000
= 10,023.9 ns
≈ 10,024 ns",Computer System Architecture,Memory Hierarchy
96,Which of the following is useful in implementing heap sort?,Stack,Set,List,Queue,C,"A heap is typically implemented using an array, which is a specific type of list.",Data Structures and Algorithms,Data Structures
17,"The transport layer protocols used for real time multimedia, file transfer, DNS and email respectively are:",TCP – UDP – UDP – TCP,UDP – TCP – UDP – TCP,UDP – UDP – TCP – UDP,TCP – UDP – TCP – UDP,B,Real-time multimedia applications often use UDP because they prioritize speed over accuracy. File transfer protocols like FTP use TCP to ensure reliable data transfer. DNS primarily uses UDP for its speed and efficiency. Email protocols like SMTP use TCP to guarantee delivery.,Data Communication and Computer Networks,Functions of OSI and TCP/IP Layers
18,Which one of the following is the correct order in which a software project manager estimates various project parameters while using COCOMO?,"Cost, effort, duration, size","Cost, duration, effort, size","Size, effort, duration, cost","Size, cost, effort, duration",C,"In COCOMO, you first estimate the size of the project (usually in lines of code). Then, you use the size to estimate the effort required. Based on the effort, you estimate the project duration. Finally, you use the effort and duration to determine the cost.",Software Engineering,Estimation and Scheduling of Software Projects
19,A multilevel page table is preferred in comparison to a single level page table for translating virtual address to physical address because,it reduces the memory access time to read or write a memory location.,it is required by the translation lookaside buffer.,it helps to reduce the number of page faults in page.,it helps to reduce the size of page table needed to implement the virtual address space of process.,D,"Multilevel page tables break down the page table into smaller pieces, reducing the overall size of the page table needed in memory at any given time. This is especially helpful for processes with large virtual address spaces.",System Software and Operating System,Memory Management
20,The Cohen-Sutherland algorithm divides the region into _______ number of spaces.,4,8,9,11,C,The Cohen-Sutherland algorithm divides the 2D space into 9 regions using a 4-bit outcode to represent each region.,Programming Languages and Computer Graphics,2-D Geometrical Transforms and Viewing
21,What is usually regarded as the Von-Neumann bottleneck?,Processor/ Memory Interface,Control Unit,Arithmetic Logic Unit,Instruction Set,A,"The Von-Neumann bottleneck refers to the limitation in data transfer rate between the CPU and memory. Because the CPU can process data much faster than it can be fetched from memory, the processor's speed is often limited by the memory access speed.",Computer System Architecture,Central Processing Unit
22,An Agent is composed of _______.,Architecture,Agent functions,Perceptron,Architecture and Program,D,An agent is typically defined as having an architecture (the physical or simulated environment it operates in) and a program (the software that determines its actions).,Artificial Intelligence (AI),Multi Agent Systems
23,"What is the identity element in the group G = {2, 4, 6, 8} under multiplication modulo 10?",2,4,6,8,C,"The identity element in a group is the element that, when combined with any other element in the group using the group's operation, leaves the other element unchanged. In this case, 6 is the identity element because: 
2 * 6 mod 10 = 2
4 * 6 mod 10 = 4
6 * 6 mod 10 = 6
8 * 6 mod 10 = 8",Discrete Structures and Optimization,Group Theory
24,"In Bresenham's line algorithm (where slope is less than 1), the initial value of decision parameter PK is _______.",0,2Δy – Δx,2Δy – 2Δx,Δx – Δy,B,"In Bresenham's line algorithm for a slope less than 1, the initial value of the decision parameter Pk is given by the formula 2Δy – Δx.",Programming Languages and Computer Graphics,Computer Graphics
25,How many cycles are required for a 100 MHz processor to execute a program which requires 5 seconds of CPU time?,10⁹,50 × 10⁷,10⁸,50,B,"A 100 MHz processor executes 100 million (10⁸) cycles per second. To execute a program that takes 5 seconds, it would require 5 * 10⁸ = 500 * 10⁶ = 50 * 10⁷ cycles.",Computer System Architecture,Central Processing Unit
26,The prefix form of A – B / (C * D ^ E) is,- /* ^ ABCDE,- ABCD * ^ DE,- A / B * C ^ DE,- A / BC * ^ DE,C,"To convert the infix expression to prefix, we follow the order of operations (PEMDAS/BODMAS). First, we have the exponentiation (D ^ E), then the multiplication (C * (D ^ E)), then the division (B / (C * (D ^ E))), and finally the subtraction (A - (B / (C * (D ^ E)))).

The prefix form is constructed by moving each operator to the left of its operands:
1. D ^ E becomes ^ DE
2. C * (^ DE) becomes * C ^ DE
3. B / (* C ^ DE) becomes / B * C ^ DE
4. A - (/ B * C ^ DE) becomes - A / B * C ^ DE",Data Structures and Algorithms,Data Structures
97,"Given the following subnet IPs and corresponding broadcast IPs for three subnets, what would be the subnet IP and broadcast IP after route summarization?","172.16.0.0/23, subnet broadcast 172.16.3.255","172.16.0.0/23, subnet broadcast 172.16.1.255","172.16.0.0/22, subnet broadcast 172.16.3.255","172.16.0.0/24, subnet broadcast 172.16.3.255",C,"The subnets are 172.16.1.0, 172.16.2.0, and 172.16.3.0. These can be summarized into a single network with a /22 prefix. The subnet IP is 172.16.0.0/22, and the broadcast IP is 172.16.3.255.",Data Communication and Computer Networks,IPv4
98,Consider a complete graph G with 4 vertices. The graph G has _______ spanning trees.,15,8,16,13,C,"A complete graph with n vertices has n^(n-2) spanning trees. For n=4, the number of spanning trees is 4^(4-2) = 4^2 = 16.",Discrete Structures and Optimization,Graph Theory
99,"If there are 3 page frames, how many page faults will occur for following page reference string using LRU page replacement algorithm? 

 5 6 1 2 6 3 6 4 2 3 6 3 2 1 2 6 1 5 6 1",12,13,14,15,B,"With 3 page frames and the given reference string, using the LRU algorithm will result in 13 page faults.",System Software and Operating System,Memory Management
100,Which one of the following is not true of a Sprint?,It is the fundamental process flow of Scrum.,"It is month long iteretion, during which an incremental product functionality completed.","During a Sprint, customer feedback is continually obtained and the Sprint back log is accordingly modified.",Each day begins with a daily Scrum meeting.,C,"While customer feedback is important in Scrum, it is not obtained and integrated within a sprint, but rather between sprints. Therefore, Option C is not true for a Sprint.",Software Engineering,Software Process Models
74,"How many numbers of different automata (exactly) can be formed with 2 states (q₀ and q₁) and over the alphabets {0, 1, 2}, where q₀ is always the starting state?",5832,256,512,1024,D,"There are 2 states (q0 and q1) and 3 alphabets {0,1,2}. Each alphabet can lead to either q0 or q1. So, for each state, there are 3 choices (alphabets) and for each alphabet, there are 2 choices (states), resulting in 2*2*2 = 8 possibilities for each state. Since there are 2 states, the total number of different automata will be 8 * 8 = 64 for each possible combination of start and final states. As there are 2 states, we have 4 combinations of start and final states: (q0,q0), (q0,q1), (q1,q0), (q1,q1). However, it is already specified that q0 is always the starting state. Therefore, we are left with 2 combinations: (q0,q0) and (q0,q1). Therefore, the total number of automata will be 2^6 * 2^6 = 2^12 = 4096. But here the final state can be any state or no state at all. For 2 states, there are 4 possible choices for final states. None, only q0, only q1, both q0 and q1. Therefore, the number of automata will be 4 * 2^6 = 256. Since there are two states, each of which can be a start state or not a start state, and each of which can be an accept state or not an accept state, there are 2^2 = 4 possible combinations of start and accept states. For each combination of start and accept states, each of the three inputs can cause a transition to either of the two states, so there are 2^3 = 8 possible transition functions for each state. Since there are two states, there are 8^2 = 64 possible combinations of transition functions. Thus there are 4 × 64 = 256 distinct DFAs with two states on a three-letter input alphabet. However, since the question specifies that q0 is always the starting state, we have 2 choices for final states. Thus, the answer is 2^6 * 2 = 128 * 8 = 1024",Theory of Computation and Compilers,Regular Language Models
75,Address part of RAM (Random Access Memory) is designed using,Decoders,Encoders,Multiplexers,None of the above,A,The address part of RAM is designed using decoders. Decoders are used to select a specific memory location within the RAM chip based on the address provided.,Computer System Architecture,Digital Logic Circuits and Components
76,__________ allows the inclusion of virtually any type of file or document in an email message.,IMAP,POP3,MIME,SMTP,C,MIME (Multipurpose Internet Mail Extensions) allows the inclusion of virtually any type of file or document in an email message.,Data Communication and Computer Networks,World Wide Web (WWW)
77,"Which of the following statement(s) is/are correct?
I. Hierarchical analysis is a scanning phase where the stream of characters is read and grouped into various tokens having a collective meaning.
II. Semantic analysis phase is used to check whether the components of the source program are meaningful or not.
III. In linear analysis phase, based on a collective meaning, the tokens are categorized into nested group.",Only I,Only II,II and III,I and II,B,"Statement I is incorrect. Hierarchical analysis is another name for parsing, which involves grouping tokens into grammatical phrases. Linear analysis is another name for lexical analysis or scanning. Statement II is correct. Semantic analysis checks the meaning of the program. Statement III is incorrect. Linear analysis is another term for lexical analysis, which is the process of converting a sequence of characters into a sequence of tokens. The correct term here should be ""Hierarchical analysis"".",Theory of Computation and Compilers,Syntax Analysis
78,"If the region codes for the two end points of a line are 1010 and 0110, the line is",completely visible.,completely invisible.,partially visible.,Can't say anything,B,"In the Cohen-Sutherland line clipping algorithm, if the region codes of two endpoints of a line have a logical AND that is not zero, then the line is completely invisible.",Programming Languages and Computer Graphics,2-D Geometrical Transforms and Viewing
79,"Consider the Languages :
L₁ = {aⁿbⁿ | n ≥ x, for some x}
and
L₂ = {aⁿbⁿ | 0 ≤ n ≤ y, for some y}.
If x > y, then L₁ ∩ L₂ is",Finite,Finite but not regular,Regular but not finite,Context free but not regular,C,"If x > y, then L1 ∩ L2 will be {aⁿbⁿ | 0 ≤ n ≤ y} which is the same as L2. This language is regular because it can be represented by a finite automaton. It's not finite because 'y' can be any non-negative integer.",Theory of Computation and Compilers,Context Free Language
80,In a virtual memory environment the minimum number of page frames that must be allocated to a running process is determined by,the number of processes in the memory.,the instruction set architecture.,the page size.,the physical memory size.,B,"The minimum number of page frames that must be allocated to a running process in a virtual memory environment is determined by the instruction set architecture. Some instructions may require multiple memory accesses, which in turn require multiple page frames.",System Software and Operating System,Memory Management
81,What is back propagation?,It is another name given to the curvy function in the perceptron.,It is the transmission of error back through the network to adjust the inputs.,It is the transmission of error back through the network to allow weights to be adjusted so that the network can learn.,Both (A) and (B),C,"Backpropagation is a widely used algorithm for training feedforward neural networks. It computes the gradient of the loss function with respect to the network's weights, and the gradient is then used to update the weights via some optimization method, like stochastic gradient descent. The goal is to minimize the loss function and improve the network's performance on the task it's being trained for.",Artificial Intelligence (AI),Artificial Neural Networks (ANN)
59,What will be the value returned by the following function when it is called with 11?,1,1011,Function does not return any value because it goes into infinite loop.,11,a,"The function `recur` calculates the remainder when `n0` is divided by 2. 
- When 11 is passed, `(11/2) != 0`, so it returns `recur(11/2) * 10 + 11 % 2`, which is `recur(5) * 10 + 1`. 
- `recur(5)` returns `recur(2) * 10 + 1`. 
- `recur(2)` returns `recur(1) * 10 + 0`. 
- `recur(1)` returns `recur(0) * 10 + 1`. 
- `recur(0)` returns 1 because `(0/2) == 0`. 
- Substituting back, `recur(1)` returns `1 * 10 + 1 = 11`. 
- `recur(2)` returns `11 * 10 + 0 = 110`. 
- `recur(5)` returns `110 * 10 + 1 = 1101`. 
- Finally, `recur(11)` returns `1101 * 10 + 1 = 11011`.
However, since in the `if` condition it checks for `!= 0`, when 0 is passed, it goes into the else condition and returns `1`.
Therefore, when the input is 11, the output is 1.",Programming Languages and Computer Graphics,Programming in C
